Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
England,JJ Roy,d1c36f5c,1,19,11,0,2,172.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,37,0,0,37
England,SW Billings,c16d4035,2,22,10,3,1,220.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,46,0,8,54
England,JE Root,a343262c,3,46,45,4,0,102.22,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,66,0,0,66
England,EJG Morgan,d2a6c0e6,4,51,38,1,4,134.21,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,2,89,0,14,103
England,BA Stokes,e087956b,5,2,5,0,0,40.0,"[7, 9, 13, 16]",4.0,24,5,0,37,2,1,1,0,1,0,5,9.25,0,0,0,0,0,2,38,0,40
England,JC Buttler,99b75528,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
England,MM Ali,bb351c23,7,0,0,0,0,0.0,"[8, 10, 12, 14]",4.0,24,9,0,21,1,0,2,1,0,0,0,5.25,0,0,0,0,0,0,71,0,71
England,CJ Jordan,ffe699c0,8,0,0,0,0,0.0,"[2, 5, 18, 20]",4.0,24,10,0,27,3,0,1,0,0,1,1,6.75,0,0,0,1,0,0,37,6,43
England,LE Plunkett,9a963804,9,0,0,0,0,0.0,"[4, 6, 11, 15]",4.0,24,8,0,32,5,0,1,0,0,0,0,8.0,0,0,0,0,0,0,33,0,33
England,TS Mills,245c97cb,10,0,0,0,0,0.0,"[1, 3, 17, 19]",4.0,24,6,0,27,2,0,1,0,0,0,1,6.75,0,0,0,0,0,0,33,0,33
England,AU Rashid,249d60c9,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,16,16
India,V Kohli,ba607b88,1,29,25,4,0,116.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,49,0,0,49
India,KL Rahul,b17e2f24,2,8,9,1,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
India,SK Raina,1dc12ab9,3,34,23,4,1,147.83,"[8, 12]",2.0,12,1,0,17,0,1,0,0,0,0,0,8.5,1,0,0,0,2,62,1,8,71
India,Yuvraj Singh,1c914163,4,12,13,1,0,92.31,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
India,MS Dhoni,4a8a2e3b,5,36,27,3,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,54,0,0,54
India,MK Pandey,93b4fc78,6,3,5,0,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
India,HH Pandya,dbe50b21,7,9,12,0,0,75.0,"[11, 13]",2.0,12,2,0,12,1,0,0,0,0,0,1,6.0,0,0,0,0,0,9,4,0,13
India,Parvez Rasool,9170ff49,8,5,6,0,0,83.33,"[5, 7, 14, 16]",4.0,24,6,0,32,1,2,1,0,0,0,0,8.0,0,0,0,0,0,5,31,0,36
India,JJ Bumrah,462411b3,9,0,0,0,0,0.0,"[2, 9, 17, 19]",3.167,19,9,0,26,3,1,0,0,0,1,0,8.21,0,0,0,0,0,0,9,0,9
India,A Nehra,96fd40ae,10,0,0,0,0,0.0,"[1, 3, 18]",3.0,18,5,0,31,2,1,0,0,0,0,3,10.33,0,0,0,0,0,0,3,0,3
India,YS Chahal,57ee1fde,11,0,0,0,0,0.0,"[4, 6, 10, 15]",4.0,24,11,0,27,1,2,2,0,2,0,0,6.75,0,0,0,0,0,0,79,0,79
