Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Chennai Super Kings,RD Gaikwad,45a43fe2,1,79,50,3,7,158.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,4,149,0,16,165,28,True,False,False,Right-arm offbreak,Right-hand bat
Chennai Super Kings,DP Conway,df5a6881,2,87,51,11,3,170.59,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,167,0,0,167,33,True,True,False,Right-arm medium,Left-hand bat
Chennai Super Kings,S Dube,a4e37e47,3,22,9,0,3,244.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40,31,True,False,True,Right-arm medium,Left-hand bat
Chennai Super Kings,MS Dhoni,4a8a2e3b,4,5,3,0,0,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5,43,True,True,False,Right-arm medium,Right-hand bat
Chennai Super Kings,RA Jadeja,fe93fd9d,5,20,7,3,1,285.71,"[7, 9, 11, 13]",4.0,24,4,0,50,3,4,1,0,0,0,1,12.5,0,0,0,0,0,38,23,0,61,36,True,False,True,Slow left-arm orthodox,Left-hand bat
Chennai Super Kings,M Pathirana,64839cb3,11,0,0,0,0,0.0,"[12, 15, 17, 19]",4.0,24,10,0,22,1,0,2,0,0,0,6,5.5,0,0,0,0,0,0,64,0,64,22,True,False,False,Right-arm fast,Right-hand bat
Chennai Super Kings,AM Rahane,29e95537,12,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,36,True,False,False,Right-arm medium,Right-hand bat
Chennai Super Kings,MM Ali,bb351c23,13,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,16,16,37,True,False,True,Right-arm offbreak,Left-hand bat
Chennai Super Kings,AT Rayudu,70d205c9,14,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,39,True,False,False,Right-arm offbreak,Right-hand bat
Chennai Super Kings,DL Chahar,23eeb873,15,0,0,0,0,0.0,"[1, 3, 5, 14]",4.0,24,14,0,22,2,1,3,0,1,0,0,5.5,0,0,0,0,0,0,105,0,105,32,True,False,False,Right-arm medium,Right-hand bat
Chennai Super Kings,TU Deshpande,46a9bea1,16,0,0,0,0,0.0,"[2, 4, 16, 18]",4.0,24,10,0,26,4,0,1,0,0,0,1,6.5,1,0,0,0,0,0,37,8,45,29,True,False,False,Right-arm medium,Left-hand bat
Chennai Super Kings,M Theekshana,f24c6701,17,0,0,0,0,0.0,"[6, 8, 10, 20]",4.0,24,11,1,23,1,1,2,1,0,0,0,5.75,0,0,0,0,0,0,85,0,85,24,True,False,False,Right-arm offbreak,Right-hand bat
Delhi Capitals,PP Shaw,8b3e9c7c,1,5,7,1,0,71.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9,25,True,False,False,Right-arm offbreak,Right-hand bat
Delhi Capitals,DA Warner,dcce6f09,2,86,58,7,5,148.28,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,158,0,0,158,38,True,False,False,Legbreak,Left-hand bat
Delhi Capitals,PD Salt,3d284ca3,3,3,6,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3,28,True,True,False,Right-arm offbreak,Right-hand bat
Delhi Capitals,RR Rossouw,cad00a4d,4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6,35,True,False,False,Right-arm offbreak,Left-hand bat
Delhi Capitals,YV Dhull,dd7e9b3b,5,13,15,1,0,86.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17,22,True,False,False,Right-arm offbreak,Right-hand bat
Delhi Capitals,AR Patel,2e171977,6,15,8,1,1,187.5,"[4, 8, 10]",3.0,18,3,0,32,0,3,0,0,0,0,0,10.67,0,0,0,0,0,25,1,0,26,31,True,False,True,Slow left-arm orthodox,Left-hand bat
Delhi Capitals,Aman Hakim Khan,378daa89,7,7,9,1,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19,28,True,False,True,Right-arm medium,Right-hand bat
