Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Adelaide Strikers,DJ Harris,39f82db3,1,17,15,1,0,113.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,21,0,8,29,45,True,True,False,Right-arm medium,Right-hand bat
Adelaide Strikers,M Klinger,b970a03f,2,25,20,1,0,125.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33,44,True,False,False,,Right-hand bat
Adelaide Strikers,AC Blizzard,1efb8a28,3,7,9,0,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,7,0,0,7,40,True,False,False,Left-arm medium,Left-hand bat
Adelaide Strikers,CJ Ferguson,9b4935c8,4,41,29,2,1,141.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,61,0,0,61,40,True,False,False,Right-arm medium,Right-hand bat
Adelaide Strikers,JEC Franklin,cf73ad76,5,7,11,0,0,63.64,"[6, 12, 16]",3.0,18,3,0,22,1,0,2,0,0,0,3,7.33,0,0,0,0,-2,5,53,0,58,44,True,False,True,Left-arm medium,Left-hand bat
Adelaide Strikers,TLW Cooper,2318ba22,6,9,11,0,0,81.82,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9,38,True,False,False,Right-arm offbreak,Right-hand bat
Adelaide Strikers,AJ Crosthwaite,0c8836b6,7,4,6,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,4,0,20,24,40,True,False,False,Legbreak googly,Right-hand bat
Adelaide Strikers,AW O'Brien,d29be810,8,8,9,0,0,88.89,"[5, 8, 10, 14]",4.0,24,14,0,12,0,0,0,0,0,0,0,3.0,0,0,0,0,0,8,20,0,28,43,True,True,False,Slow left-arm orthodox,Left-hand bat
Adelaide Strikers,AC Thomas,b552a935,9,4,5,0,0,80.0,"[2, 4, 13, 18]",4.0,24,10,0,26,1,0,0,0,0,0,4,6.5,0,0,0,0,0,4,12,0,16,48,True,False,False,Right-arm fast-medium,Right-hand bat
Adelaide Strikers,NM Lyon,96a6a7ad,10,0,2,0,0,0.0,"[1, 3, 11, 19]",3.833,23,10,0,20,2,0,0,0,0,0,1,5.22,0,0,1,0,0,-2,14,12,24,37,True,False,False,Right-arm offbreak,Right-hand bat
Adelaide Strikers,BE McGain,6d62117a,11,0,0,0,0,0.0,"[7, 9, 15, 17]",4.0,24,4,0,43,2,3,1,0,0,0,0,10.75,0,0,0,0,0,0,27,0,27,53,True,False,False,Legbreak googly,Right-hand bat
Melbourne Stars,RJ Quiney,23ac69e6,1,2,6,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10,42,True,False,False,Right-arm medium,Left-hand bat
Melbourne Stars,LJ Wright,cca50cd6,2,9,14,1,0,64.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,11,0,0,11,40,True,False,False,Right-arm medium,Right-hand bat
Melbourne Stars,AC Voges,864c199e,3,16,16,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,20,0,12,32,45,True,False,False,Slow left-arm orthodox,Right-hand bat
Melbourne Stars,DJ Hussey,fd835ab3,4,41,36,3,1,113.89,"[1, 4, 12, 18]",4.0,24,5,0,30,1,0,2,0,1,0,0,7.5,1,0,0,0,0,63,63,8,134,47,True,False,True,Right-arm offbreak,Right-hand bat
Melbourne Stars,CL White,d0513f63,5,28,30,0,1,93.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,38,0,28,66,41,True,False,False,Legbreak googly,Right-hand bat
Melbourne Stars,MS Wade,afa7e784,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,37,True,True,False,Right-arm medium,Left-hand bat
Melbourne Stars,GJ Bailey,5056011d,6,19,11,1,1,172.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,35,0,0,35,42,True,False,False,Right-arm medium,Right-hand bat
Melbourne Stars,JP Faulkner,808f425a,7,0,0,0,0,0.0,"[3, 9, 11, 17]",4.0,24,8,0,21,1,0,2,0,0,0,0,5.25,0,0,0,0,0,0,62,0,62,34,True,False,True,Left-arm fast-medium,Right-hand bat
Melbourne Stars,CJ McKay,94eac556,8,0,0,0,0,0.0,"[5, 7, 15, 19]",4.0,24,9,0,17,0,0,3,0,0,0,0,4.25,0,0,0,0,0,0,94,0,94,42,True,False,False,Right-arm fast-medium,Right-hand bat
Melbourne Stars,JM Bird,bc773eeb,9,0,0,0,0,0.0,"[2, 6, 13, 20]",3.5,21,4,0,26,2,0,2,0,1,0,0,7.43,1,0,0,0,0,0,62,8,70,38,True,False,False,Right-arm fast-medium,Right-hand bat
Melbourne Stars,SK Warne,bb18be76,10,0,0,0,0,0.0,"[8, 10, 14, 16]",4.0,24,4,0,28,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,6,0,6,52,True,False,False,Legbreak googly,Right-hand bat
