Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Australia,DA Warner,dcce6f09,1,48,35,4,2,137.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,82,0,0,82,38,True,False,False,Legbreak,Left-hand bat
Australia,SPD Smith,30a45b23,2,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,35,True,False,False,Legbreak googly,Right-hand bat
Australia,AJ Finch,b8d490fd,2,52,36,4,3,144.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,96,0,8,104,38,True,False,False,Slow left-arm orthodox,Right-hand bat
Australia,BR McDermott,c41043e6,3,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,30,True,True,False,Right-arm medium,Right-hand bat
Australia,AJ Turner,ff1e12a0,4,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,32,True,False,False,Right-arm offbreak,Right-hand bat
Australia,AT Carey,69d03465,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,33,True,False,False,,Left-hand bat
Australia,AC Agar,a2421394,6,0,0,0,0,0.0,"[8, 10, 12, 14]",4.0,24,3,0,25,0,0,1,0,0,0,0,6.25,1,0,0,0,0,0,30,8,38,31,True,False,False,Slow left-arm orthodox,Left-hand bat
Australia,SA Abbott,1a2676c5,7,0,0,0,0,0.0,"[2, 5, 15, 20]",4.0,24,16,0,14,2,0,2,0,0,0,0,3.5,0,0,0,0,0,0,72,0,72,33,True,False,True,Right-arm fast-medium,Right-hand bat
Australia,MA Starc,3fb19989,8,0,0,0,0,0.0,"[1, 3, 6, 18]",4.0,24,15,0,29,4,1,2,1,1,0,3,7.25,2,0,0,0,0,0,81,16,97,35,True,False,False,Left-arm fast,Left-hand bat
Australia,KW Richardson,dfc4d8b5,9,0,0,0,0,0.0,"[4, 13, 17, 19]",4.0,24,17,0,18,3,0,3,0,0,0,0,4.5,1,0,0,0,0,0,102,8,110,34,True,False,False,Right-arm fast-medium,Right-hand bat
Australia,B Stanlake,6834d1f2,10,0,0,0,0,0.0,"[7, 9, 11, 16]",4.0,24,9,0,19,1,0,0,0,0,0,1,4.75,0,0,0,0,0,0,15,0,15,30,True,False,False,Right-arm fast,Left-hand bat
Pakistan,Imam-ul-Haq,40c041ea,1,14,15,2,0,93.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22,29,True,False,False,,Left-hand bat
Pakistan,Babar Azam,8a75e999,2,6,7,1,0,85.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10,30,True,False,False,Right-arm offbreak,Right-hand bat
Pakistan,Muhammad Musa,9b8a3c39,2,0,0,0,0,0.0,"[2, 4, 10, 12]",3.833,23,7,0,39,5,1,0,0,0,0,1,10.17,0,0,0,0,0,0,5,0,5,24,True,False,False,Right-arm fast-medium,Right-hand bat
Pakistan,Mohammad Rizwan,2f26ac1a,3,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2,32,True,True,False,Right-arm medium,Right-hand bat
Pakistan,Haris Sohail,7cd0a092,4,8,16,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,4,0,0,4,36,True,False,False,Slow left-arm orthodox,Left-hand bat
Pakistan,Iftikhar Ahmed,29e253dd,5,45,37,6,0,121.62,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,73,0,0,73,34,True,False,False,Right-arm offbreak,Right-hand bat
Pakistan,Khushdil Shah,fce581b5,6,8,11,0,0,72.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8,30,True,False,True,Slow left-arm orthodox,Left-hand bat
Pakistan,Imad Wasim,9cb8d7a6,7,6,6,0,0,100.0,[8],1.0,6,1,0,12,0,1,0,0,0,0,0,12.0,0,0,0,0,0,6,1,0,7,36,True,False,True,Slow left-arm orthodox,Left-hand bat
Pakistan,Shadab Khan,9de62878,8,1,8,0,0,12.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,26,True,False,True,Legbreak,Right-hand bat
Pakistan,Mohammad Amir,e174dadd,9,9,9,0,1,100.0,"[1, 3, 6]",3.0,18,10,0,25,3,1,0,0,0,0,3,8.33,0,0,0,0,0,15,10,0,25,32,True,False,False,Left-arm fast-medium,Left-hand bat
Pakistan,Mohammad Hasnain,8596fe80,10,4,10,1,0,40.0,"[5, 7, 9, 11]",4.0,24,8,0,32,0,2,0,0,0,0,4,8.0,0,0,0,0,-6,2,8,0,10,24,True,False,False,Right-arm fast,Right-hand bat
