Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Gambia,Andre Jarju,53dd7d8e,1,2,5,0,0,40.0,"[6, 8]",2.0,12,4,0,17,0,1,0,0,0,0,0,8.5,2,0,0,0,0,2,4,16,22,32,True,True,False,Right-arm medium,Right-hand bat
Gambia,Muhammed Manga,6084f6ee,2,31,41,0,1,75.61,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,41,0,0,41,23,True,True,False,Right-arm medium,Right-hand bat
Gambia,Mustapha Suwareh,44116edc,3,5,10,1,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,5,0,0,5,23,True,True,False,Right-arm medium,Right-hand bat
Gambia,M Jobarteh,4a2ce060,4,0,0,0,0,0.0,"[2, 4]",2.0,12,6,0,20,1,1,0,0,0,0,5,10.0,0,0,0,0,0,0,4,0,4,0,True,True,False,Right-arm medium-fast,Right-hand bat
Gambia,Ousman Bah,95c214dd,4,8,25,0,0,32.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,2,0,0,2,28,True,True,False,Right-arm medium,Right-hand bat
Gambia,A Conteh,97b9cb64,5,6,9,0,0,66.67,"[5, 7]",2.0,12,5,0,27,2,2,1,0,0,0,1,13.5,0,0,0,0,0,6,24,0,30,36,True,True,False,Right-arm medium,Right-hand bat
Gambia,Abubacarr Kuyateh,0ec45a9a,6,0,1,0,0,0.0,"[1, 3]",2.0,12,9,0,7,1,0,0,0,0,0,1,3.5,0,0,0,0,0,-2,15,0,13,27,True,True,False,Right-arm medium,Right-hand bat
Gambia,Ismaila Tanba,180e2c15,7,10,11,1,0,90.91,[10],1.0,6,1,0,7,1,0,0,0,0,0,0,7.0,0,0,0,0,0,14,1,0,15,34,True,True,False,Right-arm medium,Right-hand bat
Gambia,ML Bojang,c2409632,8,0,2,0,0,0.0,[9],1.0,6,4,0,2,0,0,1,0,0,0,0,2.0,0,0,0,0,0,-2,29,0,27,22,True,True,False,Right-arm medium,Right-hand bat
Gambia,P Campbell,3caaf69e,9,10,16,1,0,62.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,12,0,0,12,40,True,False,False,,Right-hand bat
Gambia,F Thorpe,a7de8e39,10,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,21,True,True,False,Right-arm medium,Right-hand bat
Sierra Leone,G Ngegba,69caf2be,1,19,15,2,1,126.67,"[11, 13, 15, 17]",4.0,24,13,0,16,1,0,3,0,1,0,0,4.0,0,0,0,0,0,33,106,0,139,22,True,True,False,Right-arm offbreak,Right-hand bat
Sierra Leone,R Coker,3239c8a9,2,12,20,1,0,60.0,"[10, 12, 14, 16]",4.0,24,14,0,18,0,1,1,0,1,0,1,4.5,1,0,0,1,-2,14,53,14,81,17,True,True,False,Legbreak,Left-hand bat
Sierra Leone,L Lamin,5a970aab,3,36,21,1,3,171.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,68,0,0,68,39,True,True,False,Right-arm fast-medium,Right-hand bat
Sierra Leone,Mohamed Khan,13501ff4,4,6,4,1,0,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,10,0,6,16,35,True,False,False,,
Sierra Leone,Zahid Khan,bf896894,4,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,26,True,True,False,Right-arm medium-fast,Right-hand bat
Sierra Leone,A Gbla,34ab1e6e,5,0,0,0,0,0.0,[19],1.0,6,3,0,2,0,0,1,0,1,0,0,2.0,0,0,0,1,0,0,36,6,42,27,True,True,False,Right-arm medium,Right-hand bat
Sierra Leone,C Bah,7213d757,6,0,0,0,0,0.0,"[2, 4, 6, 8]",4.0,24,12,0,18,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,18,0,18,22,True,True,False,Right-arm medium,Right-hand bat
Sierra Leone,M Kpaka,c381cec5,7,0,0,0,0,0.0,[18],1.0,6,2,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,2,0,2,28,True,True,False,Right-arm medium,Right-hand bat
Sierra Leone,S Conteh,8f70fff7,8,0,0,0,0,0.0,"[7, 9]",2.0,12,11,0,4,0,0,0,0,0,0,1,2.0,0,0,0,0,0,0,17,0,17,21,True,True,False,Right-arm medium,Right-hand bat
Sierra Leone,J Bangura,d7acab5d,9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0,26,26,19,True,True,False,Right-arm offbreak,Right-hand bat
Sierra Leone,G Sesay,c556b9d2,10,0,0,0,0,0.0,"[1, 3, 5, 20]",4.0,24,20,0,14,2,0,2,0,1,0,3,3.5,0,0,0,0,0,0,84,0,84,18,True,True,False,Right-arm medium,Right-hand bat
