Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Nepal,AK Sah,5b1d6583,1,25,31,2,1,80.65,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,43,0,0,43,26,True,True,False,Right-arm offbreak,Right-hand bat
Nepal,Aasif Sheikh,dcbea954,2,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,6,7,23,True,False,False,,Right-hand bat
Nepal,K Bhurtel,e3386c8a,3,93,55,7,6,169.09,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,4,173,0,16,189,28,True,False,False,Legbreak googly,Right-hand bat
Nepal,Gulsan Jha,9811e35e,4,19,12,2,1,158.33,"[7, 9, 11, 13]",4.0,24,8,0,25,2,0,0,0,0,0,1,6.25,0,0,0,0,4,37,10,0,47,19,True,False,True,Right-arm medium,Left-hand bat
Nepal,RK Paudel,1a3cc554,5,20,17,2,0,117.65,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,28,0,8,36,22,True,False,True,Right-arm offbreak,Right-hand bat
Nepal,DS Airee,1747ea18,6,2,3,0,0,66.67,[12],1.0,6,2,0,9,0,1,1,0,0,0,0,9.0,2,0,0,1,0,2,27,22,51,25,True,False,False,Right-arm offbreak,Right-hand bat
Nepal,Aarif Sheikh,cd4d7695,7,1,1,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,27,True,False,False,Right-arm medium,Right-hand bat
Nepal,Karan KC,f53b3e1d,8,6,1,0,1,600.0,"[2, 4, 17, 19]",4.0,24,9,0,35,1,3,3,0,1,0,1,8.75,0,0,0,0,0,12,96,0,108,33,True,False,True,Right-arm fast,Right-hand bat
Nepal,Sompal Kami,1adb8ee8,9,0,0,0,0,0.0,"[1, 6, 14, 16, 20]",4.667,28,9,0,36,2,1,4,1,1,1,0,7.71,0,0,0,0,0,0,133,0,133,29,True,False,True,Right-arm fast-medium,Right-hand bat
Nepal,R Dhakal,8399a7af,10,0,0,0,0,0.0,"[1, 3, 5, 15]",4.0,24,7,0,36,3,0,0,0,0,1,8,9.0,1,0,0,0,0,0,7,8,15,0,True,False,False,Left-arm medium,Right-hand bat
Nepal,S Dhakal,8955b928,11,0,0,0,0,0.0,"[8, 10, 18]",3.0,18,5,0,29,0,3,1,0,0,0,0,9.67,0,0,0,0,0,0,30,0,30,23,True,False,False,Slow left-arm orthodox,Right-hand bat
United States of America,MD Patel,25d7f1ac,1,1,6,0,0,16.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,16,17,31,True,False,False,,Right-hand bat
United States of America,SR Mukkamalla,156d0ea2,2,47,41,2,3,114.63,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,77,0,0,77,20,True,False,False,Right-arm offbreak,Right-hand bat
United States of America,AGS Gous,d1305df0,3,63,44,3,4,143.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,2,109,0,12,121,31,True,False,False,,Right-hand bat
United States of America,Aaron Jones,17aa4f1d,4,7,8,1,0,87.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19,30,True,False,False,Legbreak googly,Right-hand bat
United States of America,Milind Kumar,b4296080,5,15,9,1,0,166.67,[12],1.0,6,1,0,16,0,2,0,0,0,0,0,16.0,0,0,0,0,0,19,1,0,20,34,True,False,True,Right-arm offbreak,Right-hand bat
United States of America,Shayan Jahangir,571e1d2a,6,15,8,1,1,187.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25,30,True,False,False,Right-arm medium-fast,Right-hand bat
United States of America,Harmeet Singh,0bf15e52,7,2,2,0,0,100.0,"[7, 9, 16, 18]",4.0,24,5,0,36,2,2,0,0,0,0,1,9.0,0,0,0,0,0,2,5,0,7,32,True,False,True,Slow left-arm orthodox,Left-hand bat
United States of America,Jasdeep Singh,5ec41cd7,8,7,5,0,0,140.0,"[6, 11, 17, 19]",4.0,24,8,0,32,4,1,2,0,0,0,0,8.0,0,0,0,0,0,7,58,0,65,32,True,False,False,Right-arm medium,Right-hand bat
United States of America,Ali Khan,b0eaaac6,9,1,1,0,0,100.0,"[2, 4, 15, 20]",4.0,24,11,0,43,4,3,0,0,0,0,3,10.75,0,0,0,0,0,1,9,0,10,34,True,False,False,Right-arm fast-medium,Right-hand bat
United States of America,NP Kenjige,f7d267f7,9,0,0,0,0,0.0,"[8, 10, 13]",3.0,18,6,0,21,1,1,2,0,0,0,0,7.0,1,0,0,0,0,0,58,8,66,34,True,False,False,Slow left-arm orthodox,Right-hand bat
United States of America,SN Netravalkar,c8a3f688,10,0,0,0,0,0.0,"[1, 3, 5, 14]",4.667,28,13,0,23,2,0,1,1,0,0,0,4.93,0,0,0,0,0,0,52,0,52,33,True,False,False,Left-arm fast-medium,Right-hand bat
