Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Guyana Amazon Warriors,CAK Walton,bbff906c,1,31,24,4,1,129.17,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,57,0,0,57
Guyana Amazon Warriors,L Ronchi,0fa5042b,2,42,41,2,1,102.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,60,0,20,80
Guyana Amazon Warriors,SO Hetmyer,48a1d7b7,3,21,19,3,0,110.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
Guyana Amazon Warriors,Shoaib Malik,64c34cd0,4,8,6,0,1,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
Guyana Amazon Warriors,JN Mohammed,773cec26,5,20,15,1,1,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,32,0,8,40
Guyana Amazon Warriors,SE Rutherford,d014d5ac,6,16,15,0,1,106.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
Guyana Amazon Warriors,CJ Green,19b9f399,9,0,0,0,0,0.0,"[2, 4, 15, 18]",4.0,24,11,0,28,2,1,1,0,0,0,4,7.0,0,0,0,0,0,0,38,0,38
Guyana Amazon Warriors,Sohail Tanvir,64d43928,10,0,0,0,0,0.0,"[1, 3, 5, 16]",4.0,24,14,0,19,1,1,0,0,0,0,0,4.75,0,0,0,0,0,0,20,0,20
Guyana Amazon Warriors,Imran Tahir,acee4cc4,11,0,0,0,0,0.0,"[7, 9, 11, 13]",4.0,24,16,0,23,0,2,2,2,0,0,5,5.75,0,0,0,0,0,0,86,0,86
Guyana Amazon Warriors,RR Emrit,e7de4f6b,12,0,0,0,0,0.0,"[6, 12, 17, 19]",4.0,24,11,0,26,1,2,3,0,1,0,0,6.5,0,0,0,0,0,0,100,0,100
Guyana Amazon Warriors,KMA Paul,75224f22,13,0,0,0,0,0.0,"[8, 10, 14, 20]",4.0,24,4,0,42,1,2,1,0,1,1,3,10.5,0,0,0,0,0,0,35,0,35
St Lucia Stars,ADS Fletcher,1bae756b,1,14,19,2,0,73.68,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,22,0,20,42
St Lucia Stars,DA Warner,dcce6f09,2,11,21,1,0,52.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,11,0,0,11
St Lucia Stars,LMP Simmons,89f64c19,3,45,38,0,5,118.42,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,79,0,0,79
St Lucia Stars,KA Pollard,a757b0d8,4,32,25,2,1,128.0,"[7, 9]",2.0,12,5,0,14,2,0,0,0,0,0,0,7.0,0,0,0,0,0,50,7,0,57
St Lucia Stars,MS Chapman,7fa12533,5,2,3,0,0,66.67,[16],1.0,6,1,0,8,1,0,1,1,0,0,0,8.0,0,0,0,0,0,2,34,0,36
St Lucia Stars,RRS Cornwall,c4d9634c,6,3,6,0,0,50.0,"[15, 17, 19]",3.0,18,8,0,16,0,1,0,0,0,0,1,5.33,0,0,0,0,0,3,12,0,15
St Lucia Stars,KAR Hodge,49dc9cb4,7,0,1,0,0,0.0,"[2, 4, 6, 13]",4.0,24,11,0,24,1,1,0,0,0,0,0,6.0,0,0,0,0,0,-2,13,0,11
St Lucia Stars,Qais Ahmad,8d5d991e,8,9,4,0,1,225.0,"[8, 10, 12, 14]",4.0,24,13,0,15,1,0,3,0,1,0,0,3.75,0,0,0,0,0,15,106,0,121
St Lucia Stars,Mohammad Sami,68ddabdb,9,0,0,0,0,0.0,"[1, 5]",2.0,12,5,0,20,2,1,0,0,0,0,1,10.0,0,0,0,0,0,0,3,0,3
St Lucia Stars,MJ McClenaghan,51a3c5ef,9,9,3,0,1,300.0,[3],1.0,6,1,0,15,3,0,0,0,0,0,0,15.0,0,0,0,0,0,15,1,0,16
St Lucia Stars,KOK Williams,78cb83f3,10,0,0,0,0,0.0,"[11, 18, 20]",3.0,18,2,0,28,0,2,0,0,0,0,0,9.33,0,0,0,0,0,0,2,0,2
