Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Baroda,KH Devdhar,62e07f92,1,25,29,1,0,86.21,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,33,0,8,41
Baroda,Aditya Waghmode,eb67df8f,2,4,6,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
Baroda,DJ Hooda,73ad96ed,3,1,2,0,0,50.0,"[3, 5, 7]",3.0,18,6,0,26,1,2,0,0,0,0,0,8.67,0,0,0,0,0,1,6,0,7
Baroda,KH Pandya,5b8c830e,4,11,12,1,0,91.67,"[6, 8, 15]",3.0,18,7,0,21,0,2,0,0,0,0,0,7.0,1,0,0,0,0,15,9,8,32
Baroda,YK Pathan,3c6ffae8,5,45,34,1,3,132.35,"[10, 12, 18]",2.5,15,7,0,11,1,0,2,0,0,0,0,4.4,0,0,0,0,2,73,63,0,136
Baroda,Vishnu Solanki,2e802011,6,22,20,0,2,110.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,34,0,0,34
Baroda,RT Arothe,50455929,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
Baroda,BA Pathan,870e4cec,7,0,0,0,0,0.0,"[2, 4, 17]",3.0,18,9,0,27,4,0,1,0,0,0,5,9.0,0,0,0,0,0,0,34,0,34
Baroda,Swapnil Singh,983f2f61,7,25,17,1,1,147.06,"[1, 9, 14, 16]",4.0,24,8,0,28,2,1,1,0,0,0,0,7.0,0,0,0,0,2,41,35,0,76
Baroda,Dhruv Patel,e85f3659,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Baroda,NA Rathva,8f607eea,9,0,0,0,0,0.0,"[11, 13]",2.0,12,2,0,26,2,2,0,0,0,0,0,13.0,1,0,0,0,0,0,-4,8,4
Haryana,Chaitanya Bishnoi,e793a8ed,1,56,41,5,3,136.59,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,104,0,8,112
Haryana,HV Patel,f986ca1a,2,5,6,1,0,83.33,"[1, 3, 18, 20]",4.0,24,4,0,37,3,1,1,0,1,0,0,9.25,0,0,0,0,0,9,37,0,46
Haryana,Shivam Chauhan,c6272773,3,50,37,2,3,135.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,86,0,0,86
Haryana,Himanshu Rana,9d3940b3,4,12,12,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
Haryana,R Tewatia,39a2dfa8,5,10,8,2,0,125.0,[17],1.0,6,2,0,15,0,2,0,0,0,0,1,15.0,0,0,0,0,0,18,2,0,20
Haryana,AH Hooda,e4072aa1,6,0,0,0,0,0.0,"[2, 4]",2.0,12,4,0,9,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,10,8,18
Haryana,Sumit Kumar,8998a68f,6,1,1,0,0,100.0,"[6, 8, 19]",3.0,18,6,0,17,0,1,1,0,0,0,0,5.67,0,0,0,0,0,1,35,0,36
Haryana,A Mishra,6b19d823,7,0,0,0,0,0.0,"[5, 11, 13, 15]",4.0,24,7,0,27,1,1,1,0,1,0,0,6.75,0,0,0,0,0,0,42,0,42
Haryana,J Yadav,81049310,8,0,0,0,0,0.0,"[7, 9]",2.0,12,6,0,7,0,0,1,0,0,0,0,3.5,0,0,0,0,0,0,37,0,37
Haryana,YS Chahal,57ee1fde,9,0,0,0,0,0.0,"[10, 12, 14, 16]",4.0,24,8,0,23,0,1,1,0,0,0,1,5.75,0,0,0,0,0,0,37,0,37
Haryana,JH Saroha,72bf3f11,10,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,12,12
