Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Kuwait,Khalid Butt,8ccb3da7,1,4,11,0,0,36.36,"[1, 3, 17, 19]",4.0,24,6,0,48,4,2,2,0,1,0,9,12.0,1,0,0,0,-6,-2,60,8,66
Kuwait,Mohammed Irfan,f752873d,2,13,19,0,0,68.42,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,11,0,0,11
Kuwait,Aamir Javed,66f9ecc2,3,44,26,2,4,169.23,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,84,0,0,84
Kuwait,Muhammad Kashif,e7458e4b,4,31,20,3,1,155.0,"[2, 5, 16, 20]",4.0,24,7,0,37,1,3,2,0,1,0,0,9.25,0,0,0,0,4,57,65,0,122
Kuwait,Hisham Mirza,25d642b2,5,15,13,2,0,115.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,23,0,0,23
Kuwait,Abid Mushtaq,f9979b69,6,21,14,0,2,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
Kuwait,Usman Waheed,910584a7,7,2,2,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
Kuwait,Yasar Idrees,c98d4a41,8,9,6,0,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,15,0,16,31
Kuwait,Bilal Ahmed,ad4622c0,9,0,1,0,0,0.0,"[10, 12, 15, 18]",4.0,24,10,0,26,1,1,0,0,0,0,0,6.5,1,0,0,0,0,-2,12,8,18
Kuwait,Sibtain Raza,d01849a2,10,7,5,1,0,140.0,"[7, 9, 11, 13]",4.0,24,14,0,20,1,0,2,0,0,0,1,5.0,0,0,1,0,0,11,68,12,91
Kuwait,Haroon Shahid,cc3ebe28,11,1,2,0,0,50.0,"[4, 6, 8, 14]",4.0,24,12,0,24,4,0,1,0,0,0,0,6.0,1,0,0,0,0,1,39,8,48
Saudi Arabia,Abdul Waheed,23fa9ea9,1,28,20,5,0,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,54,0,0,54
Saudi Arabia,Nasir Abbasi,16dfcf57,2,14,6,0,2,233.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,26,0,0,26
Saudi Arabia,Shahbaz Rasheed,b1a281cd,3,7,7,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
Saudi Arabia,Mohammad Afzal,55e0d2a1,4,9,14,0,0,64.29,"[14, 17, 19]",3.0,18,7,0,24,2,0,1,1,0,0,5,8.0,2,0,0,0,-2,7,40,16,63
Saudi Arabia,Babar Hussain,3c1137ba,5,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,-2,0,20,18
Saudi Arabia,Mohsin Shabbir,941dfb84,6,44,42,3,1,104.76,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,66,0,0,66
Saudi Arabia,Ibrarul Haq,119007ef,7,10,8,1,0,125.0,"[2, 4, 6, 20]",3.833,23,11,0,30,2,2,1,0,0,0,0,7.83,1,0,0,0,0,14,36,8,58
Saudi Arabia,Hammad Saeed,fcec4285,8,24,15,2,1,160.0,"[1, 3, 5, 7]",4.0,24,13,0,13,0,0,1,0,0,0,0,3.25,1,0,0,0,4,42,44,8,94
Saudi Arabia,Nadeem Javed,33e72826,9,8,5,0,1,160.0,"[8, 10, 13, 15]",4.0,24,4,0,27,0,1,1,0,0,0,0,6.75,0,0,0,0,0,14,31,0,45
Saudi Arabia,Shoaib Ali,f0e8d51a,10,1,1,0,0,100.0,"[9, 11, 16, 18]",4.0,24,9,0,55,3,5,6,0,1,0,5,13.75,1,0,0,0,0,1,173,8,182
Saudi Arabia,Faheem Afrad,76903be1,10,0,0,0,0,0.0,[12],1.0,6,0,0,8,1,0,0,0,0,0,0,8.0,1,0,0,0,0,0,0,8,8
